"symbol","date","open","high","low","close","split_coefficient","price","qtr","eps_est","eps","release_time","Beat_Miss"
"AMZN",1998-03-24,82.5,86.75,82.5,84.25,1,84.25,NA,NA,NA,NA,NA
"AMZN",1998-03-25,85,85.75,81,81.69,1,81.69,NA,NA,NA,NA,NA
"AMZN",1998-03-26,81.75,83.75,79.5,82.75,1,82.75,NA,NA,NA,NA,NA
"AMZN",1998-03-27,84.25,87.13,82.75,85,1,85,NA,NA,NA,NA,NA
"AMZN",1998-03-30,85.88,87.5,85.13,85.88,1,85.88,NA,NA,NA,NA,NA
"AMZN",1998-03-31,85.38,86.5,83.75,85.53,1,85.53,NA,NA,NA,NA,NA
"AMZN",1998-04-01,85.25,90.38,84.03,90.13,1,90.13,NA,NA,NA,NA,NA
"AMZN",1998-04-02,91.13,96.75,89.75,95.06,1,95.06,NA,NA,NA,NA,NA
"AMZN",1998-04-03,96.25,96.38,92.25,93,1,93,NA,NA,NA,NA,NA
"AMZN",1998-04-06,94.25,94.75,88.25,88.63,1,88.63,NA,NA,NA,NA,NA
"AMZN",1998-04-07,87,87.25,84.75,86,1,86,NA,NA,NA,NA,NA
"AMZN",1998-04-08,86.38,89.75,85.5,88.63,1,88.63,NA,NA,NA,NA,NA
"AMZN",1998-04-09,92.38,96,91.63,95.25,1,95.25,NA,NA,NA,NA,NA
"AMZN",1998-04-13,94.88,96.25,92,94.31,1,94.31,NA,NA,NA,NA,NA
"AMZN",1998-04-14,93.88,99.88,93.25,97.19,1,97.19,NA,NA,NA,NA,NA
"AMZN",1998-04-15,98,100,94.5,96.13,1,96.13,NA,NA,NA,NA,NA
"AMZN",1998-04-16,96.13,99.31,93.19,98.5,1,98.5,NA,NA,NA,NA,NA
"AMZN",1998-04-17,95.81,97.25,94.5,94.88,1,94.88,NA,NA,NA,NA,NA
"AMZN",1998-04-20,95.38,99.5,93.75,94.25,1,94.25,NA,NA,NA,NA,NA
"AMZN",1998-04-21,93.06,95.38,91.13,93.06,1,93.06,NA,NA,NA,NA,NA
"AMZN",1998-04-22,87.25,93.63,87,87.25,1,87.25,NA,NA,NA,NA,NA
"AMZN",1998-04-23,87,87,80.5,81,1,81,NA,NA,NA,NA,NA
"AMZN",1998-04-24,82,87.75,81.5,84.88,1,84.88,NA,NA,NA,NA,NA
"AMZN",1998-04-27,83.38,84.63,77.13,82.75,1,82.75,NA,NA,NA,NA,NA
"AMZN",1998-04-28,92.88,99.5,89.06,95.63,1,95.63,NA,NA,NA,NA,NA
"AMZN",1998-04-29,97.25,98.63,93.63,95.5,1,95.5,NA,NA,NA,NA,NA
"AMZN",1998-04-30,97.5,98,90.5,91.75,1,91.75,NA,NA,NA,NA,NA
"AMZN",1998-05-01,92.75,95.13,90.5,94.5,1,94.5,NA,NA,NA,NA,NA
"AMZN",1998-05-04,95,95.88,93.38,95.25,1,95.25,NA,NA,NA,NA,NA
"AMZN",1998-05-05,94,95.5,93.13,93.72,1,93.72,NA,NA,NA,NA,NA
"AMZN",1998-05-06,94,94,90.13,90.38,1,90.38,NA,NA,NA,NA,NA
"AMZN",1998-05-07,91,93,88.25,91,1,91,NA,NA,NA,NA,NA
"AMZN",1998-05-08,91.25,92.75,89.5,92.38,1,92.38,NA,NA,NA,NA,NA
"AMZN",1998-05-11,92.94,93,86.5,86.88,1,86.88,NA,NA,NA,NA,NA
"AMZN",1998-05-12,87.75,91.94,86.63,91.38,1,91.38,NA,NA,NA,NA,NA
"AMZN",1998-05-13,90.5,94,89.75,92.88,1,92.88,NA,NA,NA,NA,NA
"AMZN",1998-05-14,92,94.63,91,91.56,1,91.56,NA,NA,NA,NA,NA
"AMZN",1998-05-15,91.88,92.5,89.5,89.63,1,89.63,NA,NA,NA,NA,NA
"AMZN",1998-05-18,90,90.63,86.75,88.06,1,88.06,NA,NA,NA,NA,NA
"AMZN",1998-05-19,89.63,90.63,89.25,90.38,1,90.38,NA,NA,NA,NA,NA
"AMZN",1998-05-20,90.38,91.5,88.25,88.63,1,88.63,NA,NA,NA,NA,NA
"AMZN",1998-05-21,89.5,90,87.31,88.75,1,88.75,NA,NA,NA,NA,NA
"AMZN",1998-05-22,88.38,88.63,85.5,86,1,86,NA,NA,NA,NA,NA
"AMZN",1998-05-26,86.06,86.88,80.88,81.88,1,81.88,NA,NA,NA,NA,NA
"AMZN",1998-05-27,80.38,87.38,79.75,86.63,1,86.63,NA,NA,NA,NA,NA
"AMZN",1998-05-28,87.25,87.75,85.25,85.94,1,85.94,NA,NA,NA,NA,NA
"AMZN",1998-05-29,85.88,89,85.5,88.13,1,88.13,NA,NA,NA,NA,NA
"AMZN",1998-06-01,88,88.5,83.31,85.63,1,85.63,NA,NA,NA,NA,NA
"AMZN",1998-06-02,43.63,44.5,41.5,43.69,2,87.38,NA,NA,NA,NA,NA
"AMZN",1998-06-03,44.88,45.25,42,42.25,2,84.5,NA,NA,NA,NA,NA
"AMZN",1998-06-04,42.94,43.94,41.25,43.88,2,87.76,NA,NA,NA,NA,NA
"AMZN",1998-06-05,43.75,44.38,43.13,44.25,2,88.5,NA,NA,NA,NA,NA
"AMZN",1998-06-08,43.81,46.31,43.5,46.25,2,92.5,NA,NA,NA,NA,NA
"AMZN",1998-06-09,46.44,51.88,46.25,51.25,2,102.5,NA,NA,NA,NA,NA
"AMZN",1998-06-10,51.25,51.25,51.25,51.25,2,102.5,NA,NA,NA,NA,NA
"AMZN",1998-06-11,55.25,62.63,55,62.5,2,125,NA,NA,NA,NA,NA
"AMZN",1998-06-12,63.5,63.5,58.25,61,2,122,NA,NA,NA,NA,NA
"AMZN",1998-06-15,59.5,68.5,59.13,65.75,2,131.5,NA,NA,NA,NA,NA
"AMZN",1998-06-16,66.75,73.75,66.5,73.63,2,147.26,NA,NA,NA,NA,NA
"AMZN",1998-06-17,75.88,81.19,75.38,79,2,158,NA,NA,NA,NA,NA
"AMZN",1998-06-18,81,82.5,71.75,72.13,2,144.26,NA,NA,NA,NA,NA
"AMZN",1998-06-19,71.06,76.25,68,75.81,2,151.62,NA,NA,NA,NA,NA
"AMZN",1998-06-22,74.75,82.38,72.25,81.38,2,162.76,NA,NA,NA,NA,NA
"AMZN",1998-06-23,81.06,92.75,80.5,92.69,2,185.38,NA,NA,NA,NA,NA
"AMZN",1998-06-24,95,100.8,89.13,99.81,2,199.62,NA,NA,NA,NA,NA
"AMZN",1998-06-25,100,104.8,96,99.06,2,198.12,NA,NA,NA,NA,NA
"AMZN",1998-06-26,97.5,100.3,93.75,94.25,2,188.5,NA,NA,NA,NA,NA
"AMZN",1998-06-29,94.75,99.63,94.75,98.75,2,197.5,NA,NA,NA,NA,NA
"AMZN",1998-06-30,97.81,101.5,96.75,99.75,2,199.5,NA,NA,NA,NA,NA
"AMZN",1998-07-01,101.8,114.5,100.8,114.1,2,228.2,NA,NA,NA,NA,NA
"AMZN",1998-07-02,115.8,125.5,112.5,124,2,248,NA,NA,NA,NA,NA
"AMZN",1998-07-06,127.4,140.8,125.5,139.5,2,279,NA,NA,NA,NA,NA
"AMZN",1998-07-07,143,143.8,121,122.1,2,244.2,NA,NA,NA,NA,NA
"AMZN",1998-07-08,111.9,119,102.4,111.6,2,223.2,NA,NA,NA,NA,NA
"AMZN",1998-07-09,110.6,116.5,105,105.5,2,211,NA,NA,NA,NA,NA
"AMZN",1998-07-10,103,105.9,98.13,99.5,2,199,NA,NA,NA,NA,NA
"AMZN",1998-07-13,96.5,108,94.25,107.6,2,215.2,NA,NA,NA,NA,NA
"AMZN",1998-07-14,108.5,115.8,107,115,2,230,NA,NA,NA,NA,NA
"AMZN",1998-07-15,116,117.4,109.8,112.5,2,225,NA,NA,NA,NA,NA
"AMZN",1998-07-16,112.5,112.5,112.5,112.5,2,225,NA,NA,NA,NA,NA
"AMZN",1998-07-17,112.4,120.5,111.9,119.8,2,239.6,NA,NA,NA,NA,NA
"AMZN",1998-07-20,121.1,140.1,119.8,137.5,2,275,NA,NA,NA,NA,NA
"AMZN",1998-07-21,137.3,147,128,132.1,2,264.2,NA,NA,NA,NA,NA
"AMZN",1998-07-22,134,139.9,130.5,134,2,268,NA,NA,NA,NA,NA
"AMZN",1998-07-23,130,138.5,127,127.6,2,255.2,NA,NA,NA,NA,NA
"AMZN",1998-07-24,129.3,131.5,117,124.3,2,248.6,NA,NA,NA,NA,NA
"AMZN",1998-07-27,119.1,127.4,115.6,125.6,2,251.2,NA,NA,NA,NA,NA
"AMZN",1998-07-28,124.4,126,118,118.9,2,237.8,NA,NA,NA,NA,NA
"AMZN",1998-07-29,120.5,121.5,107.5,107.8,2,215.6,NA,NA,NA,NA,NA
"AMZN",1998-07-30,111.8,115,105.5,113.8,2,227.6,NA,NA,NA,NA,NA
"AMZN",1998-07-31,114.5,115.1,109.1,110.9,2,221.8,NA,NA,NA,NA,NA
"AMZN",1998-08-03,109.8,111.5,107.3,108.3,2,216.6,NA,NA,NA,NA,NA
"AMZN",1998-08-04,110.1,114.1,108.1,109.9,2,219.8,NA,NA,NA,NA,NA
"AMZN",1998-08-05,112.8,113.1,100,106.2,2,212.4,NA,NA,NA,NA,NA
"AMZN",1998-08-06,104.4,112.5,103.1,109.5,2,219,NA,NA,NA,NA,NA
"AMZN",1998-08-07,111.3,118.9,109.4,116,2,232,NA,NA,NA,NA,NA
"AMZN",1998-08-10,117,121.9,115,121.6,2,243.2,NA,NA,NA,NA,NA
"AMZN",1998-08-11,115.5,126.9,115.3,124,2,248,NA,NA,NA,NA,NA
"AMZN",1998-08-12,126.8,131.5,124.1,130.4,2,260.8,NA,NA,NA,NA,NA
"AMZN",1998-08-13,130.6,135,127,127.5,2,255,NA,NA,NA,NA,NA
"AMZN",1998-08-14,130.7,130.8,120.3,122.8,2,245.6,NA,NA,NA,NA,NA
"AMZN",1998-08-17,120.8,123.2,118.5,119.7,2,239.4,NA,NA,NA,NA,NA
"AMZN",1998-08-18,121.2,129.1,119.5,128.7,2,257.4,NA,NA,NA,NA,NA
"AMZN",1998-08-19,131.3,133.8,127,128.8,2,257.6,NA,NA,NA,NA,NA
"AMZN",1998-08-20,126.3,129.8,125.5,129.1,2,258.2,NA,NA,NA,NA,NA
"AMZN",1998-08-21,127.3,130.3,123.3,129.7,2,259.4,NA,NA,NA,NA,NA
"AMZN",1998-08-24,130.3,135,130.1,134.8,2,269.6,NA,NA,NA,NA,NA
"AMZN",1998-08-25,137.4,137.5,130.8,131.6,2,263.2,NA,NA,NA,NA,NA
"AMZN",1998-08-26,129.8,130.3,126.8,127.3,2,254.6,NA,NA,NA,NA,NA
"AMZN",1998-08-27,124.4,125,119,119,2,238,NA,NA,NA,NA,NA
"AMZN",1998-08-28,119.8,120.9,103.3,105.9,2,211.8,NA,NA,NA,NA,NA
"AMZN",1998-08-31,105.4,107.6,83.13,83.75,2,167.5,NA,NA,NA,NA,NA
"AMZN",1998-09-01,76.13,86.63,65.38,79.95,2,159.9,NA,NA,NA,NA,NA
"AMZN",1998-09-02,83.13,96,82,87.88,2,175.76,NA,NA,NA,NA,NA
"AMZN",1998-09-03,83.63,90.25,80.75,85.88,2,171.76,NA,NA,NA,NA,NA
"AMZN",1998-09-04,86.69,90,82,86.25,2,172.5,NA,NA,NA,NA,NA
"AMZN",1998-09-08,94,94.75,90,92.25,2,184.5,NA,NA,NA,NA,NA
"AMZN",1998-09-09,89.5,92.38,83.38,84.5,2,169,NA,NA,NA,NA,NA
"AMZN",1998-09-10,79.38,80.5,75.25,79.63,2,159.26,NA,NA,NA,NA,NA
"AMZN",1998-09-11,78.38,80.88,73.5,76.06,2,152.12,NA,NA,NA,NA,NA
"AMZN",1998-09-14,80.38,80.5,73.5,73.69,2,147.38,NA,NA,NA,NA,NA
"AMZN",1998-09-15,70.81,74.75,70.38,73,2,146,NA,NA,NA,NA,NA
"AMZN",1998-09-16,74.25,85.94,71.5,84.5,2,169,NA,NA,NA,NA,NA
"AMZN",1998-09-17,80.44,83.5,76.5,77,2,154,NA,NA,NA,NA,NA
"AMZN",1998-09-18,77.75,81.19,77.69,79.69,2,159.38,NA,NA,NA,NA,NA
"AMZN",1998-09-21,76,86.88,76,85.5,2,171,NA,NA,NA,NA,NA
"AMZN",1998-09-22,88.25,91.5,87.63,88.19,2,176.38,NA,NA,NA,NA,NA
"AMZN",1998-09-23,90.81,105.5,90,105.1,2,210.2,NA,NA,NA,NA,NA
"AMZN",1998-09-24,107.1,116.9,101.5,102.1,2,204.2,NA,NA,NA,NA,NA
"AMZN",1998-09-25,98.5,110.6,98.5,109.3,2,218.6,NA,NA,NA,NA,NA
"AMZN",1998-09-28,116.4,120,111.9,115.6,2,231.2,NA,NA,NA,NA,NA
"AMZN",1998-09-29,117.3,119.6,111.5,113.1,2,226.2,NA,NA,NA,NA,NA
"AMZN",1998-09-30,111.5,115.5,108.8,111.6,2,223.2,NA,NA,NA,NA,NA
"AMZN",1998-10-01,108,111,100,102.6,2,205.2,NA,NA,NA,NA,NA
"AMZN",1998-10-02,105.3,111.9,101,110.3,2,220.6,NA,NA,NA,NA,NA
"AMZN",1998-10-05,108.9,111,101,104.7,2,209.4,NA,NA,NA,NA,NA
"AMZN",1998-10-06,111.5,112.3,104,108.3,2,216.6,NA,NA,NA,NA,NA
"AMZN",1998-10-07,102.6,104.8,91.25,93.44,2,186.88,NA,NA,NA,NA,NA
"AMZN",1998-10-08,82.88,88,80,86.19,2,172.38,NA,NA,NA,NA,NA
"AMZN",1998-10-09,90.25,91.88,83.75,91.19,2,182.38,NA,NA,NA,NA,NA
"AMZN",1998-10-12,97.13,101,93,93.19,2,186.38,NA,NA,NA,NA,NA
"AMZN",1998-10-13,91.81,95.38,90.63,91.38,2,182.76,NA,NA,NA,NA,NA
"AMZN",1998-10-14,91.06,97.63,89.75,93.5,2,187,NA,NA,NA,NA,NA
"AMZN",1998-10-15,94.25,97.88,92.5,97.06,2,194.12,NA,NA,NA,NA,NA
"AMZN",1998-10-16,98.63,101.9,97,99.44,2,198.88,NA,NA,NA,NA,NA
"AMZN",1998-10-19,99,106.9,99,105.8,2,211.6,NA,NA,NA,NA,NA
"AMZN",1998-10-20,108.8,112.5,106.6,106.8,2,213.6,NA,NA,NA,NA,NA
"AMZN",1998-10-21,109.4,110.3,105.6,110,2,220,NA,NA,NA,NA,NA
"AMZN",1998-10-22,107.6,117.9,107.4,114.7,2,229.4,NA,NA,NA,NA,NA
"AMZN",1998-10-23,114.5,118.3,114.1,116.1,2,232.2,NA,NA,NA,NA,NA
"AMZN",1998-10-26,119.1,121.9,116.8,121.4,2,242.8,NA,NA,NA,NA,NA
"AMZN",1998-10-27,124.1,126,116.1,116.3,2,232.6,NA,NA,NA,NA,NA
"AMZN",1998-10-28,116.9,119.5,114.3,117.1,2,234.2,NA,NA,NA,NA,NA
"AMZN",1998-10-29,121.3,127.3,119,126.5,2,253,NA,NA,NA,NA,NA
"AMZN",1998-10-30,126.6,129.8,124.6,126.4,2,252.8,NA,NA,NA,NA,NA
"AMZN",1998-11-02,128.1,131.4,124.5,131,2,262,NA,NA,NA,NA,NA
"AMZN",1998-11-03,131.1,133.1,125.8,126.1,2,252.2,NA,NA,NA,NA,NA
"AMZN",1998-11-04,131.4,132,126.6,129.8,2,259.6,NA,NA,NA,NA,NA
"AMZN",1998-11-05,127.7,130.1,126.3,128.5,2,257,NA,NA,NA,NA,NA
"AMZN",1998-11-06,126,128.3,124,124.6,2,249.2,NA,NA,NA,NA,NA
"AMZN",1998-11-09,121.9,127.4,120.8,126.9,2,253.8,NA,NA,NA,NA,NA
"AMZN",1998-11-10,128.3,140,128.1,131.8,2,263.6,NA,NA,NA,NA,NA
"AMZN",1998-11-11,133.6,134.3,125.3,126.6,2,253.2,NA,NA,NA,NA,NA
"AMZN",1998-11-12,125.5,132.9,125,131,2,262,NA,NA,NA,NA,NA
"AMZN",1998-11-13,131.9,133.5,125.7,127.8,2,255.6,NA,NA,NA,NA,NA
"AMZN",1998-11-16,128.5,129.9,123.5,126.3,2,252.6,NA,NA,NA,NA,NA
"AMZN",1998-11-17,129.4,154.3,128.5,148.5,2,297,NA,NA,NA,NA,NA
"AMZN",1998-11-18,151.6,170.6,151.5,164,2,328,NA,NA,NA,NA,NA
"AMZN",1998-11-19,171,175.4,153,153.3,2,306.6,NA,NA,NA,NA,NA
"AMZN",1998-11-20,175,181.8,165,180.6,2,361.2,NA,NA,NA,NA,NA
"AMZN",1998-11-23,190.9,218.5,186.1,218,2,436,NA,NA,NA,NA,NA
"AMZN",1998-11-24,224,233.1,205,214.5,2,429,NA,NA,NA,NA,NA
"AMZN",1998-11-25,216.5,223.5,205,210.31,2,420.62,NA,NA,NA,NA,NA
"AMZN",1998-11-27,217.3,218,213,216.6,2,433.2,NA,NA,NA,NA,NA
"AMZN",1998-11-30,219.6,220.3,191.8,192,2,384,NA,NA,NA,NA,NA
"AMZN",1998-12-01,185.5,209.8,182,209.5,2,419,NA,NA,NA,NA,NA
"AMZN",1998-12-02,206.9,207.5,197.6,199.5,2,399,NA,NA,NA,NA,NA
"AMZN",1998-12-03,199.1,204.5,185,189.5,2,379,NA,NA,NA,NA,NA
"AMZN",1998-12-04,195.5,197,182.5,188.5,2,377,NA,NA,NA,NA,NA
"AMZN",1998-12-07,193,194,185.1,191,2,382,NA,NA,NA,NA,NA
"AMZN",1998-12-08,189.6,205.9,188.5,204.1,2,408.2,NA,NA,NA,NA,NA
"AMZN",1998-12-09,205.4,224.3,202,216.3,2,432.6,NA,NA,NA,NA,NA
"AMZN",1998-12-10,217.6,224,209.6,213.1,2,426.2,NA,NA,NA,NA,NA
"AMZN",1998-12-11,210.1,224,210,223,2,446,NA,NA,NA,NA,NA
"AMZN",1998-12-14,221.1,230,218,222.3,2,444.6,NA,NA,NA,NA,NA
"AMZN",1998-12-15,227,243,225.5,242.8,2,485.6,NA,NA,NA,NA,NA
"AMZN",1998-12-16,259.1,301.8,259,289,2,578,NA,NA,NA,NA,NA
"AMZN",1998-12-17,264,291.5,260.6,276.8,2,553.6,NA,NA,NA,NA,NA
"AMZN",1998-12-18,283,289,277.9,286.7,2,573.4,NA,NA,NA,NA,NA
"AMZN",1998-12-21,303.5,321.8,300,318.8,2,637.6,NA,NA,NA,NA,NA
"AMZN",1998-12-22,326.9,329,308.6,322.4,2,644.8,NA,NA,NA,NA,NA
"AMZN",1998-12-23,328,330,319.1,325,2,650,NA,NA,NA,NA,NA
"AMZN",1998-12-24,322.3,327,319,324.8,2,649.6,NA,NA,NA,NA,NA
"AMZN",1998-12-28,331,361.9,325,351.9,2,703.8,NA,NA,NA,NA,NA
"AMZN",1998-12-29,350,350.1,328.5,332.3,2,664.6,NA,NA,NA,NA,NA
"AMZN",1998-12-30,333,343.3,303.9,321.3,2,642.6,NA,NA,NA,NA,NA
"AMZN",1998-12-31,317.3,331,316.1,321.3,2,642.6,NA,NA,NA,NA,NA
"AMZN",1999-01-04,327.7,356,319.9,354.9,2,709.8,NA,NA,NA,NA,NA
"AMZN",1999-01-05,109.1,129.8,106.5,124.6,6,747.6,NA,NA,NA,NA,NA
"AMZN",1999-01-06,136.5,140.4,134,138,6,828,NA,NA,NA,NA,NA
"AMZN",1999-01-07,137.1,160.3,133,158.9,6,953.4,NA,NA,NA,NA,NA
"AMZN",1999-01-08,185,199.1,152,160.3,6,961.8,NA,NA,NA,NA,NA
"AMZN",1999-01-11,184,185,167.6,184.6,6,1107.6,NA,NA,NA,NA,NA
"AMZN",1999-01-12,180.5,182,159,163.4,6,980.4,NA,NA,NA,NA,NA
"AMZN",1999-01-13,129,163.5,126,148,6,888,NA,NA,NA,NA,NA
"AMZN",1999-01-14,150,159.3,136,138,6,828,NA,NA,NA,NA,NA
"AMZN",1999-01-15,140,150.1,137.6,140.4,6,842.4,NA,NA,NA,NA,NA
"AMZN",1999-01-19,150.5,150.5,136.3,139.8,6,838.8,NA,NA,NA,NA,NA
"AMZN",1999-01-20,135.1,137,109.8,113,6,678,NA,NA,NA,NA,NA
"AMZN",1999-01-21,104.5,110.4,92.56,106,6,636,NA,NA,NA,NA,NA
"AMZN",1999-01-22,99.13,125.9,98.75,123,6,738,NA,NA,NA,NA,NA
"AMZN",1999-01-25,121.5,123.4,110,112.4,6,674.4,NA,NA,NA,NA,NA
"AMZN",1999-01-26,112.6,121.3,110.6,115.1,6,690.6,NA,NA,NA,NA,NA
"AMZN",1999-01-27,134,139.8,120.1,125.6,6,753.6,NA,NA,NA,NA,NA
"AMZN",1999-01-28,126.4,128.8,120.3,122.9,6,737.4,NA,NA,NA,NA,NA
"AMZN",1999-01-29,121.6,121.6,115,116.9,6,701.4,NA,NA,NA,NA,NA
"AMZN",1999-02-01,117.8,122.3,115,115.9,6,695.4,NA,NA,NA,NA,NA
"AMZN",1999-02-02,116.4,116.4,108.5,110.3,6,661.8,NA,NA,NA,NA,NA
"AMZN",1999-02-03,109,126,108.5,125.8,6,754.8,NA,NA,NA,NA,NA
"AMZN",1999-02-04,125.3,126.8,116.3,118,6,708,NA,NA,NA,NA,NA
"AMZN",1999-02-05,117,122.9,112.3,115.9,6,695.4,NA,NA,NA,NA,NA
"AMZN",1999-02-08,114.4,115.1,105.8,109.1,6,654.6,NA,NA,NA,NA,NA
"AMZN",1999-02-09,107.9,108,99.94,100,6,600,NA,NA,NA,NA,NA
"AMZN",1999-02-10,98.25,103.4,95,97.44,6,584.64,NA,NA,NA,NA,NA
"AMZN",1999-02-11,100.4,110.2,99.5,109.9,6,659.4,NA,NA,NA,NA,NA
"AMZN",1999-02-12,108,109.9,103.6,104.5,6,627,NA,NA,NA,NA,NA
"AMZN",1999-02-16,106.9,108.5,97,98.63,6,591.78,NA,NA,NA,NA,NA
"AMZN",1999-02-17,98.44,102.1,92.5,93.5,6,561,NA,NA,NA,NA,NA
"AMZN",1999-02-18,96.5,96.5,84.25,89.5,6,537,NA,NA,NA,NA,NA
"AMZN",1999-02-19,94.75,102.5,91,101.9,6,611.4,NA,NA,NA,NA,NA
"AMZN",1999-02-22,101.8,109.6,98,106.5,6,639,NA,NA,NA,NA,NA
"AMZN",1999-02-23,110.1,117,109.5,115.2,6,691.2,NA,NA,NA,NA,NA
"AMZN",1999-02-24,117.6,122.2,110.3,110.9,6,665.4,NA,NA,NA,NA,NA
"AMZN",1999-02-25,116.6,125.6,114.6,125,6,750,NA,NA,NA,NA,NA
